Date,Open,High,Low,Close
2022-04-14,1977.088,1980.248,1960.412,1973.218
2022-04-15,1973.218,1973.218,1973.218,1973.218
2022-04-16,1973.218,1973.218,1973.218,1973.218
2022-04-17,1974.038,1988.028,1970.838,1986.622
2022-04-18,1986.618,1998.268,1976.122,1977.058
2022-04-19,1977.068,1981.848,1943.588,1949.618
2022-04-20,1949.592,1958.208,1939.16,1956.662
2022-04-21,1956.658,1957.278,1936.632,1950.848
2022-04-22,1950.848,1955.482,1926.458,1930.708
2022-04-23,1930.708,1930.708,1930.708,1930.708
2022-04-24,1930.523,1934.328,1927.953,1932.508
2022-04-25,1932.568,1932.663,1891.373,1899.258
2022-04-26,1899.248,1911.108,1895.608,1906.453
2022-04-27,1906.458,1906.898,1881.248,1885.513
2022-04-28,1885.493,1896.608,1871.938,1895.428
2022-04-29,1895.418,1919.838,1894.373,1895.748
2022-04-30,1895.748,1895.748,1895.748,1895.748
2022-05-01,1895.635,1899.788,1895.338,1897.118
2022-05-02,1897.118,1898.373,1854.468,1863.098
2022-05-03,1863.098,1877.998,1850.308,1868.278
2022-05-04,1868.278,1893.998,1861.298,1893.814
2022-05-05,1893.814,1909.633,1872.358,1874.078
2022-05-06,1874.063,1892.373,1866.001,1883.148
2022-05-07,1883.148,1883.148,1883.148,1883.148
2022-05-08,1883.068,1885.558,1879.778,1881.128
2022-05-09,1881.118,1881.988,1851.558,1854.565
2022-05-10,1854.565,1865.278,1833.218,1833.463
2022-05-11,1833.463,1858.018,1831.838,1853.963
2022-05-12,1854.058,1858.708,1810.734,1821.248
2022-05-13,1821.248,1828.678,1798.968,1810.678
2022-05-14,1810.678,1810.678,1810.678,1810.678
2022-05-15,1809.648,1814.768,1809.628,1813.078
2022-05-16,1813.048,1829.268,1786.638,1826.254
2022-05-17,1826.393,1835.998,1812.778,1814.428
2022-05-18,1814.398,1824.614,1807.228,1815.938
2022-05-19,1815.948,1849.053,1810.798,1841.944
2022-05-20,1841.973,1849.304,1832.178,1845.738
2022-05-21,1845.738,1845.738,1845.738,1845.738
2022-05-22,1844.686,1857.858,1843.353,1846.218
2022-05-23,1846.218,1865.334,1845.648,1853.758
2022-05-24,1853.768,1869.573,1849.208,1867.345
2022-05-25,1867.345,1867.878,1842.138,1853.908
2022-05-26,1853.908,1854.218,1840.798,1852.628
2022-05-27,1852.648,1861.838,1847.828,1852.838
2022-05-28,1852.838,1852.838,1852.838,1852.838
2022-05-29,1852.538,1853.788,1848.008,1849.753
2022-05-30,1849.748,1863.883,1848.598,1852.358
2022-05-31,1852.328,1857.018,1834.858,1836.328
2022-06-01,1836.318,1849.894,1828.358,1845.864
2022-06-02,1845.864,1870.508,1843.908,1869.718
2022-06-03,1869.738,1873.963,1847.273,1850.338
2022-06-04,1850.338,1850.338,1850.338,1850.338
2022-06-05,1850.618,1853.113,1849.538,1851.458
2022-06-06,1851.468,1857.748,1837.798,1839.288
2022-06-07,1839.268,1855.458,1836.923,1853.458
2022-06-08,1853.548,1859.573,1844.478,1852.643
2022-06-09,1852.673,1855.268,1839.91,1846.794
2022-06-10,1846.798,1875.868,1824.948,1871.038
2022-06-11,1871.038,1871.038,1871.038,1871.038
2022-06-12,1874.938,1878.763,1873.638,1876.883
2022-06-13,1876.878,1877.363,1809.153,1820.878
2022-06-14,1820.833,1831.538,1804.963,1810.773
2022-06-15,1810.813,1841.838,1808.528,1833.708
2022-06-16,1833.708,1857.418,1814.718,1850.634
2022-06-17,1850.638,1852.953,1833.714,1838.778
2022-06-18,1838.778,1838.778,1838.778,1838.778
2022-06-19,1837.448,1840.228,1834.493,1838.318
2022-06-20,1838.318,1845.998,1834.998,1838.988
2022-06-21,1838.936,1843.518,1828.424,1831.325
2022-06-22,1831.325,1847.778,1823.288,1836.428
2022-06-23,1836.438,1846.238,1822.388,1824.448
2022-06-24,1824.443,1831.686,1816.898,1825.858
2022-06-25,1825.858,1825.858,1825.858,1825.858
2022-06-26,1837.376,1839.363,1829.858,1830.928
2022-06-27,1830.918,1840.948,1820.678,1823.443
2022-06-28,1823.423,1829.412,1818.148,1818.298
2022-06-29,1818.308,1832.958,1811.978,1818.763
2022-06-30,1818.768,1825.008,1802.618,1806.428
2022-07-01,1806.448,1811.698,1784.397,1810.598
2022-07-02,1810.598,1810.598,1810.598,1810.598
2022-07-03,1812.078,1812.169,1807.868,1807.924
2022-07-04,1808.215,1814.198,1803.836,1809.108
2022-07-05,1809.158,1812.058,1763.748,1769.364
2022-07-06,1769.364,1772.784,1732.128,1739.818
2022-07-07,1739.834,1749.014,1736.358,1741.628
2022-07-08,1741.738,1752.387,1732.919,1741.838
2022-07-09,1741.838,1741.838,1741.838,1741.838
2022-07-10,1742.848,1744.528,1740.098,1741.828
2022-07-11,1741.828,1743.374,1731.128,1733.104
2022-07-12,1733.128,1744.098,1723.048,1725.218
2022-07-13,1725.218,1745.284,1706.948,1731.914
2022-07-14,1731.914,1733.464,1697.438,1711.504
2022-07-15,1711.504,1716.518,1698.948,1707.798
2022-07-16,1707.798,1707.798,1707.798,1707.798
2022-07-17,1707.238,1710.528,1705.758,1710.174
2022-07-18,1710.138,1723.798,1706.584,1708.144
2022-07-19,1708.124,1718.321,1705.224,1709.888
2022-07-20,1709.838,1714.411,1692.338,1695.308
2022-07-21,1695.298,1720.238,1680.748,1718.036
2022-07-22,1718.036,1739.253,1712.724,1726.618
2022-07-23,1726.618,1726.618,1726.618,1726.618
2022-07-24,1728.148,1728.148,1724.148,1724.598
2022-07-25,1724.578,1736.174,1714.653,1718.878
2022-07-26,1718.998,1728.074,1713.534,1717.814
2022-07-27,1717.808,1740.138,1711.315,1738.628
2022-07-28,1738.618,1757.004,1733.828,1754.738
2022-07-29,1754.828,1767.784,1751.928,1765.698
2022-07-30,1765.698,1765.698,1765.698,1765.698
2022-07-31,1764.809,1766.11,1760.728,1762.078
2022-08-01,1762.078,1775.314,1758.208,1772.158
2022-08-02,1772.158,1787.928,1754.828,1756.648
2022-08-03,1756.618,1772.662,1754.198,1763.615
2022-08-04,1763.615,1794.898,1763.258,1793.264
2022-08-05,1793.264,1794.764,1764.907,1774.718
2022-08-06,1774.718,1774.718,1774.718,1774.718
2022-08-07,1773.748,1774.968,1770.565,1774.438
2022-08-08,1774.428,1790.564,1771.01,1789.034
2022-08-09,1789.044,1800.364,1783.038,1793.968
